ncm,pais_origem,volume_total,valor_total,preco_medio,frete_medio,seguro_medio
64019200,"CHINA, REPUBLICA POPULAR",7820.0,8620.0,4.19,159.0,0.012
64019990,"CHINA, REPUBLICA POPULAR",9070.0,8450.0,1.6,93.8,0.0
64021900,CAMBOJA,9710.0,210000.0,44.8,378.0,12.6
64021900,"CHINA, REPUBLICA POPULAR",8460.0,285000.0,44.6,520.0,29.7
64021900,INDONESIA,40500.0,855000.0,27.7,232.0,6.34
64021900,VIETNA,40700.0,809000.0,28.3,269.0,5.85
64022000,"CHINA, REPUBLICA POPULAR",28500.0,54400.0,7.67,636.0,4.74
64029190,VIETNA,8840.0,136000.0,29.7,251.0,1.83
64029990,INDONESIA,48000.0,881000.0,20.0,311.0,5.11
64029990,VIETNA,63300.0,1890000.0,31.5,882.0,3.85
64029990,CAMBOJA,11100.0,155000.0,14.1,237.0,1.9
64029990,"CHINA, REPUBLICA POPULAR",19400.0,301000.0,81.3,187.0,1.33
64029990,INDONESIA,259000.0,3030000.0,13.0,641.0,13.9
64029990,ITALIA,984.0,180000.0,244.0,61.1,1.07
64029990,PARAGUAI,351000.0,420000.0,1.19,342.0,38.8
64029990,VIETNA,311000.0,3070000.0,12.6,435.0,5.03
64031900,VIETNA,6540.0,98300.0,31.6,370.0,4.73
64035190,ESPANHA,51.0,9420.0,121.0,19.6,1.13
64035190,ITALIA,114.0,63000.0,465.0,95.5,7.14
64035990,ITALIA,192.0,72400.0,338.0,316.0,10.9
64035990,ESPANHA,28.0,5420.0,155.0,31.1,0.971
64035990,ITALIA,6150.0,1500000.0,297.0,215.0,12.0
64039190,ITALIA,396.0,103000.0,324.0,119.0,6.64
64039190,VIETNA,3370.0,93100.0,29.4,159.0,1.69
64039990,CAMBOJA,12600.0,255000.0,27.3,397.0,7.25
64039990,"CHINA, REPUBLICA POPULAR",11100.0,221000.0,34.3,212.0,2.64
64039990,ESPANHA,185.0,14100.0,116.0,57.6,2.55
64039990,INDIA,3170.0,56400.0,24.6,100.0,0.286
64039990,INDONESIA,104000.0,1880000.0,19.3,540.0,11.2
64039990,ITALIA,8390.0,1870000.0,291.0,296.0,4.6
64039990,PORTUGAL,1260.0,48100.0,67.0,194.0,1.6
64039990,VIETNA,194000.0,3560000.0,22.1,373.0,6.83
64039990,ITALIA,247.0,77700.0,303.0,425.0,18.6
64041100,"CHINA, REPUBLICA POPULAR",4900.0,153000.0,30.5,490.0,92.0
64041100,INDONESIA,28100.0,469000.0,20.3,742.0,12.1
64041100,VIETNA,73300.0,1610000.0,22.6,1030.0,13.8
64041100,"CHINA, REPUBLICA POPULAR",12900.0,526000.0,35.6,323.0,10.7
64041100,INDONESIA,252000.0,5560000.0,23.1,496.0,12.3
64041100,VIETNA,423000.0,12300000.0,30.4,1180.0,11.0
64041900,CAMBOJA,7990.0,125000.0,15.8,120.0,1.32
64041900,"CHINA, REPUBLICA POPULAR",504000.0,837000.0,22.8,453.0,4.1
64041900,ESPANHA,20.0,1680.0,98.3,37.9,0.38
64041900,INDONESIA,20900.0,430000.0,24.2,347.0,5.86
64041900,ITALIA,1550.0,392000.0,380.0,93.7,1.36
64041900,PORTUGAL,223.0,15200.0,115.0,369.0,3.88
64041900,VIETNA,83000.0,1730000.0,29.5,375.0,4.43
64042000,ITALIA,725.0,192000.0,351.0,53.3,2.55
64052000,"CHINA, REPUBLICA POPULAR",99600.0,141000.0,3.88,292.0,4.84
64061000,"CHINA, REPUBLICA POPULAR",314000.0,1010000.0,3.25,2340.0,99.0
64062000,"CHINA, REPUBLICA POPULAR",38400.0,392000.0,20.6,1670.0,85.0
64069020,"CHINA, REPUBLICA POPULAR",64900.0,323000.0,8.79,392.0,15.2
64069090,"CHINA, REPUBLICA POPULAR",136000.0,1090000.0,39.2,1060.0,16.0
